Date,Open,High,Low,Close,Adj Close,Volume
2023-07-31,115.169998,117.050003,115.089996,117.019997,114.731758,3082200
2023-08-01,116.250000,116.919998,115.269997,116.480003,114.202324,2889400
2023-08-02,114.739998,114.739998,111.660004,113.250000,111.035484,2300000
2023-08-03,112.809998,113.379997,111.620003,112.919998,110.711929,1954000
2023-08-04,112.580002,114.610001,112.099998,113.379997,111.756760,2250500
2023-08-07,114.099998,115.290001,113.910004,115.269997,113.619698,2420400
2023-08-08,112.330002,114.800003,111.129997,114.589996,112.949440,2028300
2023-08-09,114.080002,114.500000,111.760002,111.809998,110.209236,1919600
2023-08-10,112.639999,113.160004,110.050003,110.540001,108.957428,1961300
2023-08-11,110.000000,110.910004,109.000000,110.379997,108.799713,1606400
2023-08-14,109.480003,109.620003,107.760002,109.160004,107.597176,2137500
2023-08-15,107.440002,107.440002,105.629997,106.910004,105.379395,2625400
2023-08-16,106.480003,106.900002,104.570000,104.919998,103.417877,1695900
2023-08-17,105.400002,106.260002,104.470001,105.070000,103.565735,1822200
2023-08-18,103.809998,105.500000,103.809998,105.040001,103.536163,1517300
2023-08-21,105.269997,105.300003,103.199997,104.389999,102.895462,1533400
2023-08-22,104.529999,104.570000,100.080002,100.300003,98.864029,3079200
2023-08-23,100.250000,101.660004,99.750000,101.620003,100.165123,1832700
2023-08-24,101.830002,103.199997,100.820000,101.480003,100.027138,1548300
2023-08-25,101.489998,102.080002,99.879997,100.849998,99.406151,1264200
2023-08-28,101.790001,102.669998,100.959999,101.589996,100.135559,1446000
2023-08-29,101.360001,104.379997,101.239998,103.519997,102.037926,2089200
2023-08-30,103.599998,104.000000,102.220001,102.559998,101.091667,1647000
2023-08-31,103.099998,103.430000,102.040001,102.389999,100.924103,1875500
2023-09-01,103.160004,104.489998,103.160004,103.500000,102.018211,1556800
2023-09-05,103.070000,103.779999,101.510002,101.739998,100.283409,1976100
2023-09-06,101.070000,101.690002,99.540001,101.459999,100.007416,2229500
2023-09-07,100.629997,100.900002,99.660004,99.919998,98.489464,2138000
2023-09-08,99.879997,100.050003,98.730003,99.919998,98.489464,2431900
2023-09-11,100.879997,101.739998,99.849998,100.029999,98.597893,1820000
2023-09-12,99.730003,101.809998,99.029999,101.050003,99.603287,2670700
2023-09-13,101.739998,101.970001,99.360001,100.339996,98.903450,1802900
2023-09-14,101.400002,102.660004,101.400002,102.260002,100.795975,1848300
2023-09-15,101.919998,104.610001,101.230003,104.459999,102.964470,4096900
2023-09-18,103.889999,103.970001,102.110001,102.580002,101.111389,1479200
2023-09-19,102.580002,102.970001,101.639999,101.690002,100.234131,1388800
2023-09-20,102.489998,103.290001,100.300003,100.559998,99.120300,1441700
2023-09-21,100.150002,100.510002,98.889999,98.930000,97.513634,1667800
2023-09-22,98.849998,99.080002,97.610001,98.269997,96.863083,2089200
2023-09-25,97.650002,98.699997,97.019997,97.879997,96.478668,1599000
2023-09-26,97.000000,98.589996,96.169998,97.099998,95.709839,2132100
2023-09-27,97.510002,97.550003,94.720001,95.489998,94.122887,2418300
2023-09-28,95.449997,97.089996,95.070000,97.010002,95.621124,1840700
2023-09-29,97.690002,98.650002,96.589996,97.050003,95.660553,1859300
2023-10-02,96.870003,97.500000,94.650002,95.120003,93.758186,2997700
2023-10-03,94.070000,94.519997,92.529999,93.050003,91.717827,2191800
2023-10-04,93.279999,93.589996,91.790001,92.610001,91.284119,2518500
2023-10-05,91.849998,92.519997,90.879997,92.110001,90.791283,2275900
2023-10-06,91.349998,94.459999,91.019997,93.540001,92.200806,2314900
2023-10-09,92.589996,94.879997,92.370003,94.330002,92.979500,2243900
2023-10-10,95.230003,98.290001,95.230003,96.980003,95.591560,2467900
2023-10-11,97.000000,98.589996,95.849998,97.120003,95.729553,1486800
2023-10-12,97.709999,97.879997,95.440002,96.910004,95.522560,1846900
2023-10-13,97.699997,98.230003,94.570000,95.199997,93.837044,2246100
2023-10-16,96.410004,97.510002,95.540001,97.150002,95.759125,1645500
2023-10-17,95.910004,99.260002,95.910004,98.040001,96.636375,2113600
2023-10-18,97.040001,97.570000,95.589996,95.930000,94.556595,1574900
2023-10-19,94.510002,95.180000,92.309998,92.699997,91.372833,3480100
2023-10-20,92.400002,92.860001,89.739998,90.230003,88.938202,2483500
2023-10-23,90.059998,91.769997,89.500000,90.379997,89.086044,1834400
2023-10-24,90.709999,91.320000,88.830002,89.199997,87.922935,2597600
2023-10-25,88.599998,90.129997,88.230003,88.970001,87.696236,2369400
2023-10-26,89.410004,91.089996,89.080002,89.510002,88.228500,3549700
2023-10-27,96.489998,99.769997,96.160004,97.739998,96.340668,6534100
2023-10-30,98.620003,101.260002,98.419998,100.540001,99.100594,3923400
2023-10-31,100.879997,101.830002,99.820000,101.290001,99.839851,2619200
2023-11-01,101.650002,101.720001,99.370003,100.269997,98.834457,2186000
2023-11-02,102.000000,104.930000,101.379997,104.650002,103.151741,3287100
2023-11-03,105.870003,108.129997,105.870003,106.320000,104.797836,3375700
2023-11-06,106.099998,106.919998,104.639999,105.449997,103.940292,2340500
2023-11-07,104.839996,105.739998,104.440002,105.010002,103.506599,2009700
2023-11-08,105.000000,105.849998,104.320000,105.080002,103.575592,2054000
2023-11-09,105.760002,106.019997,103.989998,104.489998,102.994034,1801900
2023-11-10,104.000000,104.629997,102.629997,104.580002,103.678093,2503700
2023-11-13,104.040001,106.059998,103.790001,104.370003,103.469902,3009900
2023-11-14,106.930000,108.129997,106.760002,107.010002,106.087135,3213700
2023-11-15,107.279999,107.540001,105.510002,106.000000,105.085846,3303800
2023-11-16,106.449997,106.570000,104.209999,105.010002,104.104385,2825100
2023-11-17,105.860001,107.680000,105.029999,107.680000,106.751350,2309700
2023-11-20,107.550003,107.660004,106.430000,107.150002,106.225929,2255800
2023-11-21,106.809998,107.250000,105.599998,105.779999,104.867737,1545300
2023-11-22,106.400002,107.070000,105.389999,106.769997,105.849197,1342800
2023-11-24,107.080002,107.360001,106.230003,106.570000,105.650925,524100
2023-11-27,105.699997,106.610001,105.430000,106.180000,105.264290,1556800
2023-11-28,106.370003,109.050003,106.139999,108.580002,107.643593,1874500
2023-11-29,109.180000,111.559998,109.180000,110.129997,109.180222,2087500
2023-11-30,110.800003,111.970001,110.180000,111.660004,110.697037,2439300
2023-12-01,111.339996,115.139999,111.339996,113.930000,112.947449,3421900
2023-12-04,112.989998,116.019997,112.639999,114.940002,113.948746,3594000
2023-12-05,114.440002,116.309998,113.669998,115.320000,114.325462,3572400
2023-12-06,117.269997,118.089996,113.489998,113.769997,112.788826,2480000
2023-12-07,114.059998,115.930000,113.419998,115.379997,114.384941,3675000
2023-12-08,115.500000,118.550003,114.889999,118.089996,117.071571,3024900
2023-12-11,117.730003,119.669998,117.129997,118.809998,117.785370,3138200
2023-12-12,118.519997,121.059998,118.519997,120.290001,119.252609,3666200
2023-12-13,121.000000,125.209999,120.070000,125.089996,124.011200,3871200
2023-12-14,126.769997,130.149994,126.680000,129.199997,128.085754,6375700
2023-12-15,128.369995,129.949997,127.500000,129.679993,128.561615,5016500
2023-12-18,130.080002,130.869995,129.600006,129.979996,128.859039,2630700
2023-12-19,129.570007,132.059998,129.220001,131.520004,130.385757,2663200
2023-12-20,131.679993,132.139999,127.730003,127.730003,126.628441,2780400
2023-12-21,128.889999,130.630005,128.630005,129.639999,128.521973,3203200
2023-12-22,130.149994,131.360001,129.190002,129.740005,128.621124,1371500
2023-12-26,129.740005,130.820007,129.229996,130.729996,129.602570,864000
2023-12-27,130.940002,131.279999,130.000000,131.149994,130.018936,1007400
2023-12-28,131.130005,132.270004,130.800003,132.020004,130.881439,1198100
2023-12-29,131.809998,132.500000,130.649994,131.119995,129.989197,1384600
2024-01-02,130.600006,132.330002,129.889999,132.110001,130.970657,2176600
2024-01-03,130.809998,131.639999,129.009995,130.720001,129.592651,2505100
2024-01-04,130.240005,131.330002,129.270004,129.770004,128.650848,2605600
